indivi	master	datmet	datmea	datstd	locate	countr	latitu	longit	warnin	timind	sntind
I5400	I5400	Direct	2824	30	Swat__Valley,__Loebanr	Pakistan	34.75146111	72.40193611	Xcontam=[0.005,0.017]	TRUE	TRUE
I6292	I6292	Direct	2781	28	Swat__Valley,__Loebanr	Pakistan	34.75146111	72.40193611	..	TRUE	TRUE
I6553	I6553	Direct	2834	35	Swat__Valley,__Loebanr	Pakistan	34.75146111	72.40193611	..	TRUE	TRUE
I6556	I6556	Direct	2776	26	Swat__Valley,__Loebanr	Pakistan	34.75146111	72.40193611	..	TRUE	TRUE
I8998	I8998	Context	2850	58	Swat__Valley,__Loebanr	Pakistan	34.75146111	72.40193611	..	TRUE	TRUE
I8999	I8999	Direct	2813	26	Swat__Valley,__Loebanr	Pakistan	34.75146111	72.40193611	..	TRUE	TRUE
I6555	I6555	Direct	2811	26	Swat__Valley,__Loebanr	Pakistan	34.75146111	72.40193611	..	TRUE	TRUE
I8997	I8997	Context	2850	58	Swat__Valley,__Loebanr	Pakistan	34.75146111	72.40193611	..	TRUE	TRUE
I12985	I12985	Context	2850	58	Swat__Valley,__Loebanr	Pakistan	34.75146111	72.40193611	..	TRUE	TRUE
I12136	I12136	Context	2850	58	Swat__Valley,__Loebanr	Pakistan	34.75146111	72.40193611	..	TRUE	TRUE
I12138	I12138	Direct	2949	42	Swat__Valley,__Loebanr	Pakistan	34.75146111	72.40193611	..	TRUE	TRUE
I12983	I12983	Context	2850	58	Swat__Valley,__Loebanr	Pakistan	34.75146111	72.40193611	..	TRUE	TRUE
I6554	I6554	Direct	2758	15	Swat__Valley,__Loebanr	Pakistan	34.75146111	72.40193611	..	TRUE	TRUE
I1808	I1808	Direct	1121	49	Swat__Valley,__Parwak	Pakistan	36.280247	72.414702	mtcontam=[0.937,0.978]	TRUE	TRUE
I11565	I11565	Context	1450	288	Swat__Valley,__Parwak	Pakistan	36.280247	72.414702	mtcontam=[0.853,0.971]	TRUE	TRUE
I7716	I7716	Direct	728	23	Swat__Valley,__Raja__Gira	Pakistan	34.75700556	72.36238056	..	TRUE	TRUE
I1805	I1805	Direct	382	46	Swat__Valley,__Singoor	Pakistan	36.28027778	72.41466944	..	TRUE	TRUE
I2959	I2959	Direct	822	54	Swat__Valley,__Udegram	Pakistan	34.74319444	72.31421667	..	TRUE	TRUE
I2960	I2960	Context	825	72	Swat__Valley,__Udegram	Pakistan	34.74319444	72.31421667	Xcontam=[0.007,0.059]	FALSE	TRUE
I12472	I12472	Context	2850	58	Swat__Valley,__Katelai	Pakistan	34.7658417	72.3491333	..	TRUE	TRUE
I1799	I1799	Direct	3003	40	Swat__Valley,__Udegram	Pakistan	34.74319444	72.31421667	..	FALSE	TRUE
I1985	I1985	Direct	2939	43	Swat__Valley,__Udegram	Pakistan	34.74319444	72.31421667	mtcontam=[0.939,0.975]	FALSE	TRUE
